oldid,genre_ids,id,popularity,title,vote_average,revenue
1245,"[28, 12, 14, 878]",19995,760.013,Avatar,7.5,2920357254
90,"[12, 878, 28]",299534,133.248,Avengers: Endgame,8.3,2797800564
490,"[18, 10749]",597,118.126,Titanic,7.9,2187463944
2070,"[12, 28, 878, 14]",140607,64.946,Star Wars: The Force Awakens,7.3,2068223624
96,"[12, 28, 878]",299536,226.628,Avengers: Infinity War,8.3,2046239637
297,"[28, 12, 878]",634649,552.978,Spider-Man: No Way Home,8.0,1916050941
4909,"[28, 12, 878, 53]",135397,83.714,Jurassic World,6.7,1671713208
2804,"[12, 18, 10751]",420818,99.778,The Lion King,7.1,1667635327
812,"[878, 28, 12]",24428,120.659,The Avengers,7.7,1518815515
2374,"[28, 53, 80, 12]",168259,73.387,Furious 7,7.2,1515047671
62,"[28, 18]",361743,538.764,Top Gun: Maverick,8.3,1482656000
2155,"[10751, 16, 12, 35, 14]",330457,117.675,Frozen II,7.3,1450026933
2177,"[28, 12, 878]",99861,118.018,Avengers: Age of Ultron,7.3,1405403694
1739,"[28, 12, 878]",284054,292.409,Black Panther,7.4,1347597973
200,"[14, 12]",12445,174.805,Harry Potter and the Deathly Hallows: Part 2,8.1,1341511219
4079,"[12, 28, 878]",181808,57.571,Star Wars: The Last Jedi,6.9,1332698830
5492,"[28, 12, 878, 53]",351286,75.939,Jurassic World: Fallen Kingdom,6.6,1310466296
2293,"[16, 10751, 12, 14]",109445,105.195,Frozen,7.3,1274219009
3530,"[10751, 14, 10749]",321612,72.178,Beauty and the Beast,7.0,1263521126
1368,"[28, 12, 16, 10751]",260513,79.263,Incredibles 2,7.5,1242805359
3892,"[28, 80, 53]",337339,75.55,The Fate of the Furious,6.9,1238764765
3725,"[28, 12, 878]",68721,80.649,Iron Man 3,6.9,1214811252
6336,"[10751, 16, 12, 35]",211672,40.635,Minions,6.4,1156730962
1581,"[12, 28, 878]",271110,95.474,Captain America: Civil War,7.4,1153337496
3847,"[28, 12, 14]",297802,95.885,Aquaman,6.9,1148528393
1443,"[28, 12, 878]",429617,99.035,Spider-Man: Far from Home,7.5,1131927996
3929,"[28, 12, 878]",299537,67.999,Captain Marvel,6.9,1128276090
7436,"[28, 878, 12]",38356,39.681,Transformers: Dark of the Moon,6.2,1123794079
19,"[12, 14, 28]",122,83.932,The Lord of the Rings: The Return of the King,8.5,1118888979
2460,"[28, 12, 53]",37724,44.35,Skyfall,7.2,1108569499
8570,"[878, 28, 12]",91314,224.844,Transformers: Age of Extinction,5.9,1104054072
687,"[28, 80, 18, 53]",49026,76.929,The Dark Knight Rises,7.8,1081041287
154,"[80, 53, 18]",475557,86.024,Joker,8.2,1074251311
6265,"[12, 28, 878]",181812,58.19,Star Wars: The Rise of Skywalker,6.4,1074144248
1195,"[10751, 12, 16, 35, 14]",301528,88.357,Toy Story 4,7.5,1073394593
635,"[16, 10751, 35]",10193,81.572,Toy Story 3,7.8,1066969703
1997,"[12, 14, 28]",58,87.268,Pirates of the Caribbean: Dead Man's Chest,7.3,1065659812
1434,"[28, 12, 878]",330459,46.635,Rogue One: A Star Wars Story,7.5,1056057273
2832,"[12, 14, 10749, 10751]",420817,62.855,Aladdin,7.1,1047612394
5656,"[12, 28, 14]",1865,104.393,Pirates of the Caribbean: On Stranger Tides,6.5,1045713802
6061,"[28, 16, 35, 10751, 12]",324852,52.474,Despicable Me 3,6.4,1031552585
3191,"[12, 16, 35, 10751]",127380,47.048,Finding Dory,7.0,1028570889
5223,"[10751, 14, 12]",12155,62.228,Alice in Wonderland,6.6,1025467110
742,"[16, 12, 10751, 35]",269149,104.973,Zootopia,7.7,1023784195
2050,"[12, 14, 28]",49051,84.848,The Hobbit: An Unexpected Journey,7.3,1021103568
13,"[18, 28, 80, 53]",155,79.138,The Dark Knight,8.5,1004558444
3453,"[12, 28, 878]",507086,561.384,Jurassic World Dominion,7.0,1001000000
434,"[12, 14]",671,223.77,Harry Potter and the Philosopher's Stone,7.9,976475550
3811,"[16, 35, 10751]",93456,73.943,Despicable Me 2,6.9,970761885
4046,"[10751, 12, 18, 14]",278927,49.827,The Jungle Book,6.9,966550600
4218,"[12, 28, 35, 14]",353486,46.33,Jumanji: Welcome to the Jungle,6.8,962102237
2391,"[12, 14, 28]",285,87.885,Pirates of the Caribbean: At World's End,7.2,961000000
1126,"[14, 12, 28]",57158,64.437,The Hobbit: The Desolation of Smaug,7.6,958400000
2109,"[28, 12, 14]",122917,106.742,The Hobbit: The Battle of the Five Armies,7.3,956019788
1572,"[14, 28, 12]",453395,340.225,Doctor Strange in the Multiverse of Madness,7.4,955800000
681,"[12, 14]",12444,156.742,Harry Potter and the Deathly Hallows: Part 1,7.8,954305868
584,"[16, 10751]",12,86.164,Finding Nemo,7.8,940335536
848,"[12, 14, 9648]",675,159.147,Harry Potter and the Order of the Phoenix,7.7,938212738
1277,"[16, 35, 10751]",438148,442.28,Minions: The Rise of Gru,7.5,936000000
821,"[12, 14]",767,203.954,Harry Potter and the Half-Blood Prince,7.7,933959197
2532,"[16, 10751, 35, 14, 12]",809,107.471,Shrek 2,7.2,928760770
50,"[12, 14, 28]",121,80.713,The Lord of the Rings: The Two Towers,8.4,926287400
5710,"[12, 28, 878]",1893,37.59,Star Wars: Episode I - The Phantom Menace,6.5,924317558
415,"[12, 878]",329,30.839,Jurassic Park,7.9,920100000
596,"[12, 14, 10751]",674,196.642,Harry Potter and the Goblet of Fire,7.8,895921036
309,"[10402, 18, 36]",424694,52.358,Bohemian Rhapsody,8.0,894027543
